state,sample_size,minute_bucket,score_diff_bucket,phase,warning
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,348,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,173,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,110,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,106,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,90,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,89,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,65,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,62,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,48,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,47,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,46,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,42,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,41,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,41,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,41,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,40,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,34,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,31,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,29,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,28,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,27,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,21,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,20,unknown,unknown,unknown,False
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,19,unknown,unknown,unknown,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,18,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,12,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,11,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,10,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,8,unknown,unknown,unknown,True
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,7,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,5,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,4,unknown,unknown,unknown,True
away_red_cards=0|home_red_cards=1_plus|minute_bucket=61-75|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,3,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,3,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,3,unknown,unknown,unknown,True
away_red_cards=0|home_red_cards=1_plus|minute_bucket=61-75|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,3,unknown,unknown,unknown,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,3,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,3,unknown,unknown,unknown,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,2,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,2,unknown,unknown,unknown,True
away_red_cards=0|home_red_cards=1_plus|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,1,unknown,unknown,unknown,True
away_red_cards=0|home_red_cards=1_plus|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,1,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,1,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,1,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,1,unknown,unknown,unknown,True
away_red_cards=0|home_red_cards=1_plus|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,1,unknown,unknown,unknown,True
away_red_cards=1_plus|home_red_cards=1_plus|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,1,unknown,unknown,unknown,True
